time,open,high,low,close,volume
1779483300,100.18,100.26,100.1,100.26,146
1779660000,95.95,95.95,94.94,95.06,726
1779660300,95.04,95.14,94.42,94.5,614
1779660600,94.49,94.98,94.3,94.88,554
1779660900,94.89,94.94,94.77,94.78,354
1779661200,94.79,94.91,94.74,94.88,286
1779661500,94.89,95.02,94.85,95,334
1779661800,95.01,95.07,94.81,94.95,250
1779662100,94.96,95.03,94.92,94.93,208
1779662400,94.94,94.96,94.47,94.5,304
1779662700,94.47,94.48,94.2,94.27,356
1779663000,94.28,94.42,94.23,94.39,214
1779663300,94.38,94.47,94.35,94.42,208
1779663600,94.4,94.41,94.19,94.33,250
1779663900,94.3,94.54,94.27,94.47,216
1779664200,94.48,94.56,94.43,94.53,210
1779664500,94.54,94.65,94.46,94.61,208
1779664800,94.62,94.71,94.5,94.67,148
1779665100,94.66,94.67,94.64,94.66,124
1779665400,94.65,94.7,94.59,94.61,192
1779665700,94.6,94.63,94.4,94.4,176
1779666000,94.41,94.57,94.33,94.57,206
1779666300,94.56,94.7,94.55,94.66,206
1779666600,94.68,94.78,94.6,94.76,154
1779666900,94.75,95.02,94.75,94.99,218
1779667200,95,95.17,94.88,95.12,330
1779667500,95.11,95.15,94.85,94.97,272
1779667800,94.96,95.07,94.92,95.06,178
1779668100,95.07,95.07,94.88,94.95,218
1779668400,94.94,94.99,94.75,94.77,216
1779668700,94.76,95,94.75,94.9,194
1779669000,94.89,94.92,94.75,94.92,140
1779669300,94.93,94.96,94.82,94.92,214
1779669600,94.94,95.06,94.88,94.98,182
1779669900,94.97,95,93.82,94.11,318
1779670200,94.05,94.48,94.02,94.43,382
1779670500,94.45,94.8,94.45,94.79,310
1779670800,94.84,95.03,94.59,94.94,614
1779671100,94.95,95.18,94.86,94.97,494
1779671400,94.95,95.21,94.91,95.15,386
1779671700,95.16,95.24,95.12,95.13,354
1779672000,95.12,95.21,94.99,95.21,370
1779672300,95.2,95.24,95.13,95.19,272
1779672600,95.17,95.33,95.1,95.24,348
1779672900,95.25,95.33,95.22,95.33,248
1779673200,95.34,95.4,95.29,95.34,278
1779673500,95.33,95.4,95.29,95.29,236
1779673800,95.3,95.3,95.15,95.2,192
1779674100,95.19,95.38,95.15,95.28,248
1779674400,95.29,95.43,95.29,95.41,232
1779674700,95.39,95.39,95,95.04,276
1779675000,95.03,95.08,94.99,95.01,226
1779675300,95,95.14,95,95.09,184
