time,open,high,low,close,volume
1779483300,0.55925,0.55963,0.55925,0.55956,201
1779656400,0.56066,0.56066,0.56066,0.56066,2
1779656700,0.56058,0.56058,0.56015,0.56041,15
1779657000,0.56054,0.56055,0.56051,0.56051,5
1779657300,0.56046,0.56052,0.56045,0.56045,14
1779657600,0.56055,0.56055,0.56055,0.56055,2
1779657900,0.56073,0.56073,0.56073,0.56073,1
1779658200,0.56064,0.56064,0.56064,0.56064,3
1779658500,0.56056,0.5606,0.56055,0.5606,6
1779658800,0.56056,0.56056,0.56056,0.56056,2
1779659100,0.56048,0.5605,0.56048,0.56049,9
1779659400,0.5605,0.5606,0.56041,0.5606,17
1779659700,0.56062,0.56066,0.56062,0.56063,7
1779660000,0.56061,0.56061,0.56041,0.56041,32
1779660300,0.56045,0.56049,0.56045,0.56049,19
1779660600,0.56023,0.56025,0.5602,0.56021,55
1779660900,0.56026,0.56036,0.56024,0.56036,44
1779661200,0.56031,0.56032,0.56028,0.56029,27
1779661500,0.56011,0.56011,0.5601,0.56011,17
1779661800,0.5598,0.5598,0.55977,0.55977,22
1779662100,0.55975,0.55975,0.55975,0.55975,6
1779662400,0.55974,0.55976,0.55973,0.55975,30
1779662700,0.55966,0.55969,0.55966,0.55969,31
1779663000,0.55988,0.5599,0.55985,0.55987,29
1779663300,0.55989,0.55991,0.55989,0.5599,6
1779663600,0.55976,0.55981,0.55976,0.55981,7
1779663900,0.55985,0.55987,0.55983,0.55985,33
1779664200,0.55986,0.55989,0.55985,0.55989,14
1779664500,0.55984,0.55985,0.55984,0.55984,8
1779664800,0.55985,0.55986,0.55985,0.55985,8
1779665100,0.55985,0.55985,0.55985,0.55985,1
1779665400,0.55983,0.55983,0.55977,0.55979,27
1779665700,0.55991,0.55994,0.55991,0.55994,20
1779666000,0.55994,0.55995,0.55993,0.55995,12
1779666300,0.55996,0.55999,0.55996,0.55996,16
1779666600,0.55987,0.55987,0.55982,0.55982,9
1779666900,0.55987,0.55991,0.55987,0.55989,26
1779667200,0.55991,0.55994,0.55987,0.55989,55
1779667500,0.55978,0.55981,0.55978,0.55979,27
1779667800,0.56002,0.56004,0.55999,0.56,30
1779668100,0.55996,0.55998,0.55992,0.55998,16
1779668400,0.55987,0.5599,0.55987,0.55989,29
1779668700,0.56013,0.56015,0.56009,0.56012,23
1779669000,0.56016,0.56017,0.56013,0.56016,22
1779669300,0.55998,0.56,0.55998,0.56,5
1779669600,0.56008,0.56008,0.56003,0.56004,36
1779669900,0.56,0.56001,0.55997,0.55999,48
1779670200,0.56002,0.56004,0.55993,0.55996,43
1779670500,0.56005,0.56005,0.56003,0.56004,29
1779670800,0.5601,0.56018,0.56007,0.5601,103
1779671100,0.56021,0.56025,0.5602,0.56022,63
1779671400,0.56034,0.56037,0.56033,0.56036,43
1779671700,0.56039,0.56042,0.56038,0.5604,29
1779672000,0.5604,0.5604,0.56039,0.56039,3
